Month,sin_month,cos_month,web_traffic,weather_score,discount_pct,discount_flag,promotion,Net items sold
2020-03-01,0.8660254037844385,0.5000000000000001,131.7913344149989,1,30,1,1,239
2020-04-01,1.0,6.123233995736766e-17,153.75698018345673,1,10,1,0,146
2020-05-01,0.8660254037844387,-0.4999999999999997,137.2948832900339,0,5,1,0,159
2020-06-01,0.4999999999999999,-0.8660254037844386,122.08306250206724,0,5,1,0,151
2020-07-01,1.2246467991473532e-16,-1.0,93.98293387770603,0,15,1,0,163
2020-08-01,-0.4999999999999997,-0.8660254037844387,93.52278184508938,0,20,1,0,129
2020-09-01,-0.8660254037844383,-0.5000000000000003,56.56375756339875,1,20,1,0,117
2020-10-01,-1.0,-1.8369701987210297e-16,39.422890710440996,1,15,1,0,88
2020-11-01,-0.8660254037844385,0.5,64.92417893180996,0,10,1,1,127
2020-12-01,-0.5000000000000003,0.8660254037844383,62.79156350028976,0,0,0,1,132
2021-01-01,0.0,1.0,102.08863595004756,0,0,0,0,122
2021-02-01,0.4999999999999999,0.8660254037844386,105.40329876120225,0,20,1,0,170
2021-03-01,0.8660254037844385,0.5000000000000001,130.01940970023762,0,10,1,0,173
2021-04-01,1.0,6.123233995736766e-17,151.96861235869125,0,0,0,0,157
2021-05-01,0.8660254037844387,-0.4999999999999997,150.68593598917604,1,0,0,0,137
2021-06-01,0.4999999999999999,-0.8660254037844386,126.7136828118997,0,10,1,0,167
2021-07-01,1.2246467991473532e-16,-1.0,98.8435171761176,0,0,0,1,166
2021-08-01,-0.4999999999999997,-0.8660254037844387,71.98896304410712,1,0,0,0,67
2021-09-01,-0.8660254037844383,-0.5000000000000003,41.913509907103816,0,10,1,0,124
2021-10-01,-1.0,-1.8369701987210297e-16,42.801557916052914,1,10,1,0,59
2021-11-01,-0.8660254037844385,0.5,52.0923421011802,1,10,1,0,83
2021-12-01,-0.5000000000000003,0.8660254037844383,85.57122226218914,0,0,0,0,108
2022-01-01,0.0,1.0,103.43618289568461,0,15,1,0,153
2022-02-01,0.4999999999999999,0.8660254037844386,107.36959844637266,0,0,0,0,130
2022-03-01,0.8660254037844385,0.5000000000000001,146.54210988316987,0,5,1,0,163
2022-04-01,1.0,6.123233995736766e-17,146.14917719583684,0,15,1,0,184
2022-05-01,0.8660254037844387,-0.4999999999999997,136.53205018616237,0,10,1,0,167
2022-06-01,0.4999999999999999,-0.8660254037844386,131.1167628884087,0,20,1,0,190
2022-07-01,1.2246467991473532e-16,-1.0,110.30999522495951,0,10,1,0,146
2022-08-01,-0.4999999999999997,-0.8660254037844387,84.312801191162,0,10,1,0,115
2022-09-01,-0.8660254037844383,-0.5000000000000003,48.306554578551705,1,0,0,0,73
2022-10-01,-1.0,-1.8369701987210297e-16,46.907876241487855,0,5,1,0,92
2022-11-01,-0.8660254037844385,0.5,60.01136412481372,0,0,0,0,94
2022-12-01,-0.5000000000000003,0.8660254037844383,84.75545127122358,0,0,0,0,108
2023-01-01,0.0,1.0,95.2082576215471,1,40,1,0,171
2023-02-01,0.4999999999999999,0.8660254037844386,123.14341023336183,0,5,1,0,144
2023-03-01,0.8660254037844385,0.5000000000000001,132.23792044916163,0,20,1,0,200
2023-04-01,1.0,6.123233995736766e-17,138.0379337591933,1,10,1,0,164
2023-05-01,0.8660254037844387,-0.4999999999999997,151.42652841316394,0,15,1,0,186
2023-06-01,0.4999999999999999,-0.8660254037844386,138.56240028570824,1,10,1,0,144
2023-07-01,1.2246467991473532e-16,-1.0,99.27989878419666,0,10,1,0,153
2023-08-01,-0.4999999999999997,-0.8660254037844387,85.03532897892026,0,5,1,1,136
2023-09-01,-0.8660254037844383,-0.5000000000000003,60.31509006125443,0,0,0,0,92
2023-10-01,-1.0,-1.8369701987210297e-16,43.54880245394876,0,15,1,0,107
2023-11-01,-0.8660254037844385,0.5,60.312685865862214,0,0,0,0,84
2023-12-01,-0.5000000000000003,0.8660254037844383,90.38036566465968,1,0,0,0,94
